mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
10.876517216364542,0.23600380323900003,0.30970215797424316,0.0899199187943096,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.8126286890871655,0.8184002746309647,0.8135942327497425,0.8148743988226242,0.0025241392992418838,1
20.946905374526978,0.39955494724280866,0.494789997736613,0.09892312423815634,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.8133150308853809,0.8184002746309647,0.8122210779265362,0.8146454611476273,0.002692353554052725,2
8.011675834655762,0.3841987032372266,0.27672791481018066,0.09057339485213758,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.8071379547014413,0.8173704085135599,0.811534500514933,0.8120142879099781,0.00419113546369939,4
15.199797550837198,0.0894698261099327,0.599350372950236,0.1400394457798599,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.8098833218943033,0.8194301407483694,0.811534500514933,0.813615987719202,0.004166123641487301,3
1.7848513921101887,0.05218284555349415,0.06174651781717936,0.002692530815249011,20,2,100,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.75840768702814,0.7638173704085136,0.7507723995880535,0.7576658190082357,0.005351360702094452,9
4.537850379943848,0.8663701822837838,0.14436022440592447,0.02281958771502648,20,2,200,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",0.7566918325326012,0.7662203913491246,0.7476828012358393,0.7568650083725217,0.007568930096373903,10
1.67705233891805,0.06005793029331311,0.059279998143514,0.00018429024478808307,20,5,100,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",0.7587508579272477,0.7590113285272915,0.7514589769996567,0.756407054484732,0.0035004346713042563,12
3.264948606491089,0.07006738423967658,0.11047450701395671,0.00135712532947416,20,5,200,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.7580645161290323,0.7617576381737041,0.7497425334706488,0.7565215625911285,0.005025018372864796,11
5.06367293993632,0.7747803996411222,0.11342191696166992,0.035584097508990366,40,2,100,"{'max_depth': 40, 'min_samples_split': 2, 'n_estimators': 100}",0.7786547700754975,0.7912804668726399,0.7796086508753862,0.7831812959411746,0.005740203218116857,7
8.145158529281616,0.8437485382630935,0.1776564915974935,0.01382366827122539,40,2,200,"{'max_depth': 40, 'min_samples_split': 2, 'n_estimators': 200}",0.7796842827728209,0.7943700652248541,0.7796086508753862,0.7845543329576871,0.006940839526623343,5
3.8783578077952066,0.6819953148496379,0.11090739568074544,0.038694904054464185,40,5,100,"{'max_depth': 40, 'min_samples_split': 5, 'n_estimators': 100}",0.7793411118737131,0.7926536216958462,0.776519052523172,0.7828379286975772,0.00703571254490004,8
6.760317881902059,0.37769727265204756,0.17043097813924155,0.04028759819408439,40,5,200,"{'max_depth': 40, 'min_samples_split': 5, 'n_estimators': 200}",0.7803706245710363,0.7943700652248541,0.7775489186405767,0.7840965361454891,0.0073552500930930045,6
